date,product_id,units_sold,lead_time,discount_numeric,Promotion_Flag,seasonality,holiday
03-01-2024,P00001,46,3,0.05,1,Festive,0
08-01-2024,P00001,210,2,0,0,Festive,0
10-01-2024,P00001,458,3,0.05,1,Festive,0
11-01-2024,P00001,360,3,0.15,1,Festive,0
02-02-2024,P00001,414,1,0.1,1,Festive,0
03-02-2024,P00001,103,4,0.15,1,Festive,0
04-02-2024,P00001,261,4,0.1,1,Festive,0
06-02-2024,P00001,107,1,0.15,1,Festive,0
08-02-2024,P00001,479,2,0.1,1,Festive,0
10-02-2024,P00001,10,2,0,0,Festive,0
11-02-2024,P00001,423,5,0,0,Festive,0
12-02-2024,P00001,193,3,0.1,1,Festive,0
05-03-2024,P00001,43,3,0.05,1,Festive,0
09-03-2024,P00001,233,4,0,0,Festive,0
01-04-2024,P00001,140,3,0.15,1,Festive,0
02-04-2024,P00001,467,6,0,0,Festive,0
04-04-2024,P00001,430,6,0.05,1,Festive,0
08-04-2024,P00001,459,6,0.1,1,Festive,0
10-04-2024,P00001,132,2,0,0,Festive,0
01-05-2024,P00001,239,3,0.15,1,Festive,0
05-05-2024,P00001,152,4,0.15,1,Festive,0
08-05-2024,P00001,41,1,0,0,Festive,0
11-05-2024,P00001,333,4,0.05,1,Festive,0
04-06-2024,P00001,125,3,0.15,1,Festive,0
06-06-2024,P00001,212,1,0.05,1,Festive,0
08-06-2024,P00001,440,5,0.15,1,Festive,0
07-07-2024,P00001,362,3,0.05,1,Festive,0
08-07-2024,P00001,270,3,0,0,Festive,0
09-07-2024,P00001,346,6,0,0,Festive,0
10-07-2024,P00001,396,3,0.15,1,Festive,0
05-08-2024,P00001,364,3,0,0,Festive,0
12-08-2024,P00001,491,6,0.1,1,Festive,0
03-09-2024,P00001,307,6,0,0,Festive,0
01-10-2024,P00001,453,2,0,0,Festive,0
02-10-2024,P00001,128,1,0,0,Festive,1
04-10-2024,P00001,223,6,0.1,1,Festive,0
05-10-2024,P00001,179,5,0,0,Festive,0
12-10-2024,P00001,232,1,0.15,1,Festive,1
02-11-2024,P00001,124,6,0.05,1,Festive,0
04-11-2024,P00001,172,4,0.1,1,Festive,0
09-11-2024,P00001,469,2,0,0,Festive,0
11-11-2024,P00001,239,2,0.1,1,Festive,0
01-12-2024,P00001,401,2,0.1,1,Festive,0
04-12-2024,P00001,155,4,0.15,1,Festive,0
06-12-2024,P00001,421,7,0.15,1,Festive,0
07-12-2024,P00001,390,6,0.1,1,Festive,0
08-12-2024,P00001,16,4,0.15,1,Festive,0
01-01-2025,P00001,457,2,0.15,1,Festive,0
03-01-2025,P00001,478,1,0.15,1,Festive,0
04-01-2025,P00001,223,2,0.05,1,Festive,0
05-01-2025,P00001,267,6,0.1,1,Festive,0
06-01-2025,P00001,221,1,0,0,Festive,0
09-01-2025,P00001,156,5,0.05,1,Festive,0
02-02-2025,P00001,125,3,0.15,1,Festive,0
04-02-2025,P00001,271,1,0,0,Festive,0
07-02-2025,P00001,375,5,0.05,1,Festive,0
08-02-2025,P00001,136,4,0,0,Festive,0
10-02-2025,P00001,327,1,0.15,1,Festive,0
07-03-2025,P00001,144,5,0.15,1,Festive,0
10-03-2025,P00001,214,3,0.05,1,Festive,0
03-04-2025,P00001,457,1,0,0,Festive,0
05-04-2025,P00001,295,3,0.15,1,Festive,0
08-04-2025,P00001,357,3,0.15,1,Festive,0
09-04-2025,P00001,332,5,0.1,1,Festive,0
03-05-2025,P00001,411,5,0.1,1,Festive,0
04-05-2025,P00001,209,2,0.1,1,Festive,0
07-05-2025,P00001,198,5,0.05,1,Festive,0
03-07-2025,P00001,327,3,0.05,1,Festive,0
05-07-2025,P00001,236,2,0.15,1,Festive,0
07-07-2025,P00001,406,5,0.05,1,Festive,0
09-07-2025,P00001,326,4,0.1,1,Festive,0
10-07-2025,P00001,54,3,0.05,1,Festive,0
09-08-2025,P00001,371,3,0.15,1,Festive,0
01-09-2025,P00001,436,4,0.05,1,Festive,0
07-09-2025,P00001,305,1,0.15,1,Festive,0
01-10-2025,P00001,480,4,0.05,1,Festive,0
02-10-2025,P00001,46,7,0.1,1,Festive,1
03-10-2025,P00001,124,3,0.1,1,Festive,0
04-10-2025,P00001,24,3,0,0,Festive,0
08-10-2025,P00001,404,6,0.15,1,Festive,0
10-10-2025,P00001,125,4,0.05,1,Festive,0
01-11-2025,P00001,334,2,0.15,1,Festive,0
02-11-2025,P00001,132,2,0,0,Festive,0
06-11-2025,P00001,108,6,0,0,Festive,0
07-11-2025,P00001,124,2,0.1,1,Festive,0
01-12-2025,P00001,45,1,0.1,1,Festive,0
